"","SITE_ID","DUPLICATE_ID","REVISITED_OVERLAP","WSA_SITEID","YEAR","JULDAY","DATE_COL","LAT_DD","LON_DD","STATE","ECO10","EPA_hybird","FW_ECO9","ECO3","FW_ECO3","ECOLVL3","ECO_LVL_3NAME","REALM","SITECLS","LOC_NAME","RST_FSED_AND_RMD_PHAB","RST_FRIP_AND_RMD_PHAB","COND","PHLAB","PHSTVL","PTL","NTL","XCMGW","LRP100","QR1","LINCIS_H","XCDENMID","XCMG","W1_HALL","XEMBED","XFC_NAT","PCT_SAFN","DPCT_SF","LRBS_BW4","LRBS_BW5","LRBS_BW6","LRBS_G08","LRBS_TST","LRBS_USE","XCEMBED","CVDPTH","CVDTH","LBFWD_RAT","LBFXDRAT","LBFXWRAT","LSUB_DMM","LSUB_DMM_NOR","LDMB_BW4","LDMB_BW5","LDVRP100","LINCIS_D","PCT_FN","QRDIST1","QRVEG1","QRVEG2","REFID","RP100","W1H_WALL","XCDENBK","XINC_H","XINCISION_D","XINCISION_H","RMD_PHAB","RST_FRIP","RST_FSED","RT_NRSA1","STRAHCAT","STRAHLER","NA_L2NAME","EPA_REGION","XGB","NAMC_JOINED_StreamOr_1","XSLOPE","XSLOPE_FIELD","XSLOPE_FRDATA","XSLOPE_FRREF","XSLOPE_MAP","XWD_RAT","XWIDTH","XWXD","XBKF_W","XDEPTH","V1W_MSQ","V1WM100","V2W_MSQ","V2WM100","V4W_MSQ","V4WM100","C1TM100","C1WM100","C2TM100","C2WM100","C4TM100","C4WM100","FLOWSITE","BNK_THRESH","THRESH","THRESH3","THRESH2"
"11","FW08CA007","WCAP99-0677","Y","WCAP99-0677",2008,205,"7/23/2008",34.74778,-120.05222,"CA","XE_CALIF","Xeric California","XER","XE","WMTNS",6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE",NA,"Alamo Pintado","T","T",1254.66,8.42,NA,197.325,173,0.782954545,NA,0.5657497,NA,97.0588235,0.96931818,1.43181818,36.454545,0.177272727,23.809524,NA,NA,-0.81799917,-0.826600027,-0.93867238,-0.047685312,-0.93867238,34.848485,NA,0.46874458,NA,NA,NA,0.935835375,0.881141402,NA,1.753834546,NA,NA,0,NA,0.4523295,0.9735294,NA,4.72,0,97.0588235,2.24,NA,NA,"D",NA,NA,"T","3rd",NA,"MEDITERRANEAN CALIFORNIA",9,0.751136364,3,NA," 1.295389516"," 1.295389516"," 1.295389516",NA,"  15.344443","   1.5250000","1.865000e-01","   3.9909091","  10.850000","0.001866194","7.447811e-01","0.001572598","  0.62760943","0.000000000"," 0.0000000",NA,"  2.69360269",NA,"  0.67340067",NA," 0.00000000",NA,"LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"12","FW08CA005","WCAP99-0767","Y","WCAP99-0767",2009,187,"7/6/2009",39.43944,-122.63556,"CA","XE_CALIF","Xeric California","XER","XE","WMTNS",6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE",NA,"North Fork Stony Creek","S","S",217.77,8.28,NA,26.9013,114,0.571590909,NA,0.4477245,NA,27.4064171,0.64886364,1.55303636,21.363636,0.109090909,8.571429,NA,NA,0.500086909,0.482885195,0.246111277,1.165444357,0.246111277,17.727273,NA,0.37654226,NA,NA,NA,2.099168946,1.437806529,NA,1.599082037,NA,NA,0.952381,NA,0.3572159,0.6414439,NA,5.97,0,60.1604278,1.28,NA,NA,"M",NA,NA,"S","3rd",NA,"MEDITERRANEAN CALIFORNIA",9,0.779545455,1,NA," 0.741561736"," 0.741561736"," 0.741561736",NA,"  23.636506","   3.7100000","6.722500e-01","  14.8545454","  16.900000","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"13","FW08CA010","WCAP99-0845","Y","WCAP99-0845",2008,247,"9/3/2008",42.00122,-122.76609,"CA","MT_PNW","Pacific Northwest","WMT","MT","WMTNS",78,"Klamath Mountains","WADEABLE",NA,"Grouse Creek","S","S",151.87,8.08,NA,25.2088,34,0.998863636,NA,0.7746875,NA,87.1657754,1.18295455,0.11363636,48.727273,0.354545455,29.52381,NA,NA,-0.488315614,-0.488315614,-0.465113633,-0.291819045,-0.465113633,39.090909,NA,0.50627637,NA,NA,NA,1.065361488,1.065361488,NA,1.553677102,NA,NA,0.952381,NA,0.5494886,0.942246,NA,7.56,0,93.5828877,1.35,NA,NA,"M",NA,NA,"S","2nd",NA,"WESTERN CORDILLERA",9,0.793181818,2,NA," 1.440889439"," 1.440889439"," 1.440889439",NA,"  18.416285","   3.7550000","8.146500e-01","   4.4727273","  23.060000","0.041680217","1.864242e+01","0.040894309"," 18.29090909","0.037821439","16.9164983",NA," 10.10101010",NA,"  4.04040404",NA," 1.34680135",NA,"LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"14","FW08CA011","WCAP99-0860","Y","WCAP99-0860",2008,234,"8/21/2008",38.31116,-119.34331,"CA","XE_SOUTH","Southern Xeric Plains","XER","XE","WMTNS",13,"Central Basin and Range","WADEABLE",NA,"Long Valley Creek","S","S",150.62,8.18,NA,62.2831,96,1.635227273,NA,0.9034,NA,69.6524064,1.92272727,0,24.272727,1.029545455,17.142857,NA,NA,-1.296817402,-1.299797897,-1.637745756,-0.238183469,-1.637745756,11.969697,NA,0.58208062,NA,NA,NA,0.999305642,0.999305642,NA,2.296123044,NA,NA,9.5238095,NA,0.8358523,0.8820856,NA,7.02,0,86.8983957,1.27,NA,NA,"M",NA,NA,"S","2nd",NA,"COLD DESERTS",9,0.203409091,2,NA," 1.556981760"," 1.556981760"," 1.556981760",NA,"  12.316171","   1.6700000","2.800500e-01","   2.5818182","  16.200000","0.009737241","2.513978e+00","0.001765864","  0.45591398","0.000000000"," 0.0000000",NA," 37.09677419",NA,"  1.61290323",NA," 0.00000000",NA,"LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"15","FW08CA001","WCAP99-0864","Y","WCAP99-0864",2008,156,"6/4/2008",33.7607,-116.54989,"CA","XE_SOUTH","Southern Xeric Plains","XER","XE","WMTNS",81,"Sonoran Basin and Range","WADEABLE",NA,"Andreas Canyon","R","R",290.8,8.41,NA,12.555,64,0.930681818,NA,0.6699369,NA,81.8181818,1.16704546,0.53030455,38.181818,0.604545455,21.904762,NA,NA,-0.261596859,-0.290542051,-0.277701094,-0.021389085,-0.277701094,20,NA,0.42303796,NA,NA,NA,1.748415517,1.668249138,NA,2.010012376,NA,NA,0,NA,0.5188068,0.8868984,NA,11.1,0,87.4331551,0.364,NA,NA,"R",NA,NA,"R","3rd",NA,"WARM DESERTS",9,0.659090909,3,NA," 2.516810483"," 2.516810483"," 2.516810483",NA,"  12.864785","   3.1100000","8.815500e-01","   4.1636364","  34.140000","0.000000000","0.000000e+00","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  0.00000000",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade","XE_SOUTH_LargeWade"
"16","FW08CA012","WCAP99-0905","Y","WCAP99-0905",2008,204,"7/22/2008",34.5575,-119.24944,"CA","MT_SWEST","Southwestern Mountains","WMT","MT","WMTNS",8,"Southern California Mountains","WADEABLE",NA,"Sespe Creek","R","R",917.05,8.3,NA,10.3325,76,1.196590909,NA,0.8441779,NA,79.9465241,1.64659091,0,39,0.496363636,18.095238,NA,NA,-0.100295664,-0.137566045,-0.279082255,0.480439531,-0.279082255,36.060606,NA,0.37983538,NA,NA,NA,1.600406913,1.600406913,NA,1.700702577,NA,NA,0,NA,0.6384659,0.942246,NA,10.6,0,93.5828877,1.46,NA,NA,"R",NA,NA,"R","4th",NA,"MEDITERRANEAN CALIFORNIA",9,0.443181818,1,NA," 0.730846129"," 0.730846129"," 0.730846129",NA,"  16.312013","   3.8315789","1.001158e+00","  11.3909091","  26.330000","0.000197304","2.247475e-01","0.000100869","  0.11489899","0.000000000"," 0.0000000",NA,"  2.52525252",NA,"  0.63131313",NA," 0.00000000",NA,"LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade","MT_SWEST_LargeWade"
"17","FW08CA016","WCAP99-0984","Y","WCAP99-0984",2008,206,"7/24/2008",37.32861,-121.67444,"CA","XE_CALIF","Xeric California","XER","XE","WMTNS",6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE",NA,"Smith Creek","R","R",370.68,8.25,NA,21.3475,141,1.297727273,NA,0.7577831,NA,84.4919786,1.44545455,0.47727273,29.272727,0.290909091,11.428571,NA,NA,-0.326524327,-0.340859089,-0.508968809,0.35982262,-0.508968809,27.878788,NA,0.59790606,NA,NA,NA,1.565700489,1.523236906,NA,1.892224816,NA,NA,0,NA,0.6839773,0.9398396,NA,8.85,0,93.315508,0.845,NA,NA,"R",NA,NA,"R","2nd",NA,"MEDITERRANEAN CALIFORNIA",9,0.626136364,1,NA," 0.661008746"," 1.223926000"," 1.223926000"," 1.223926000","  21.522367","   3.0157895","5.991579e-01","   6.2000000","  19.161616","0.008955143","5.552189e+00","0.008829152","  5.47407407","0.006323450"," 3.9205387",NA,"  4.71380471",NA,"  3.36700337",NA," 1.34680135",NA,"LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"18","FW08CA006","WCAP99-0991","Y","WCAP99-0991",2008,213,"7/31/2008",38.73232,-119.92907,"CA","MT_PNW","Pacific Northwest","WMT","MT","WMTNS",5,"Sierra Nevada","WADEABLE",NA,"West Fork Carson River","R","R",44.64,7.7,NA,7.6594,89,0.622727273,NA,0.4979227,NA,1.2032086,1.05681818,0.07142857,34.181818,0.261363636,29.52381,NA,NA,-0.304581701,-0.301714749,-0.227168186,-0.246971336,-0.227168186,24.545455,NA,0.57664453,NA,NA,NA,0.598156554,0.598156554,NA,0.902738255,NA,NA,10.4761905,NA,0.3802273,0.347861,NA,26.4,0,27.5401069,1.43,NA,NA,"R",NA,NA,"R","3rd",NA,"WESTERN CORDILLERA",9,0.448863636,3,NA," 0.268585558"," 0.268585558"," 0.268585558",NA,"  41.351325","   6.3125000","2.392225e+00","   9.3818182","  38.050000","0.000351260","3.295455e-01","0.000000000","  0.00000000","0.000000000"," 0.0000000",NA,"  5.68181818",NA,"  0.00000000",NA," 0.00000000",NA,"LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"19","FW08CA002","WCAP99-1048","Y","WCAP99-1048",2009,153,"6/2/2009",38.50417,-122.78806,"CA","XE_CALIF","Xeric California","XER","XE","WMTNS",6,"Southern and Central California Chaparral and Oak Woodlands","WADEABLE",NA,"Mark West Creek","T","T",314.35,8.11,NA,47.6575,144,1.759090909,NA,0.7107088,NA,77.6737968,2.07045455,1.394,60.909091,0.381818182,42.857143,NA,NA,-0.458507179,-0.458507179,-0.555805899,-0.179149132,-0.555805899,43.939394,NA,0.57820978,NA,NA,NA,0.353687088,0.353687088,NA,0.812194267,NA,NA,11.4285714,NA,0.8915909,0.9639037,NA,26.6,0,95.9893048,4.64,NA,NA,"D",NA,NA,"R","3rd",NA,"MEDITERRANEAN CALIFORNIA",9,0.156818182,1,NA," 0.105043046"," 0.105043046"," 0.105043046",NA,"  27.060166","   8.8300000","4.205500e+00","  14.0272727","  47.400000","0.003149228","4.417508e+00","0.002870790","  4.02693603","0.000873419"," 1.2251683",NA," 10.52188552",NA,"  3.78787879",NA," 0.42087542",NA,"LargeWade","XE_CALIF_LargeWade","Other","XE_CALIF_LargeWade"
"20","FW08CA013","WCAP99-1090","Y","WCAP99-1090",2008,253,"9/9/2008",41.08977,-124.08483,"CA","MT_PNW","Pacific Northwest","WMT","MT","WMTNS",1,"Coast Range","WADEABLE",NA,"M-Line Creek","R","R",83.42,7.75,NA,14.8225,215,1.926136364,NA,0.8913954,NA,92.6470588,2.70681818,0.3485,17.692308,0.506818182,17.171717,NA,NA,0.517685726,0.520888173,0.407709532,0.307662701,0.407709532,14.375,NA,0.78980567,NA,NA,NA,1.512016059,0.981357365,NA,0.994330332,NA,NA,0,NA,0.9667614,0.9879679,NA,21.5,0,98.6631016,1.51,NA,NA,"R",NA,NA,"R","2nd",NA,"MARINE WEST COAST FOREST",9,0.113636364,3,NA," 0.809942615"," 0.809942615"," 0.809942615",NA,"  23.734694","   4.3900000","1.396722e+00","   6.9363636","  28.854167","0.074962380","5.199663e+01","0.074174069"," 51.44983165","0.029596622","20.5292929",NA," 43.09764310",NA," 33.67003367",NA," 4.04040404",NA,"LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade","MT_PNW_LargeWade"
"21","FW08CO014","WCOP01-0739","Y","WCOP01-0739",2008,170,"6/18/2008",39.8925,-105.0564,"CO","PL_NCULT","Cultivated Norther Plains","SPL","PL","PLNLOW",25,"High Plains","WADEABLE",NA,"Big Dry Creek","S","S",661.2,8.41,NA,41.5063,490,0.569318182,NA,0.5356287,NA,27.8074866,1.20909091,0.89398182,79.897959,0.279545455,61,NA,NA,NA,NA,NA,-1.471418657,-1.766882851,72.931034,NA,0.54620445,NA,NA,NA,-0.467401035,-0.645084236,NA,NA,NA,NA,47,NA,0.3561932,0.8171123,NA,17.6,0,79.6791444,0.675,NA,NA,"M",NA,NA,"S","2nd",NA,"SOUTH CENTRAL SEMI-ARID PRAIRIES",8,0.234090909,2,NA,NA," 0.415686000"," 0.415686000"," 0.415686000","  21.258956","   5.8600000","2.063450e+00","   6.2136364","  35.445545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LargeWade","PL_NCULT_LargeWade","PL_NCULT_LargeWade","PL_NCULT_LargeWade"
"22","FW08CO004","WCOP01-0779","Y","WCOP01-0779",2009,202,"7/21/2009",39.95188,-105.16873,"CO","PL_NCULT","Cultivated Norther Plains","SPL","PL","PLNLOW",25,"High Plains","WADEABLE",NA,"Coal Creek","T","T",514.07,7.81,NA,46.2375,154,1.135227273,NA,0.5643194,NA,93.8502674,1.47727273,2.30092381,37.090909,0.531818182,28.571429,NA,NA,-0.4031471,-0.409551994,-0.524258921,0.23895509,-0.524258921,26.969697,NA,0.42119138,NA,NA,NA,1.129644182,0.885650618,NA,1.532791282,NA,NA,9.5238095,NA,0.6108523,0.971123,NA,4.76,0.53174762,96.7914438,1.85,NA,NA,"D",NA,NA,"S","2nd",NA,"SOUTH CENTRAL SEMI-ARID PRAIRIES",8,0.221590909,2,NA," 0.804208985"," 0.804208985"," 0.804208985",NA,"  23.372072","   2.9600000","4.587000e-01","   7.7363636","  14.113333","0.000870117","6.731544e-01","0.000668854","  0.51744966","0.000000000"," 0.0000000",NA,"  4.02684564",NA,"  1.34228188",NA," 0.00000000",NA,"LargeWade","PL_NCULT_LargeWade","PL_NCULT_LargeWade","PL_NCULT_LargeWade"
